 (-3.00000000+0.00000000j)  (0.00000233+0.00101439j)
 (-2.99699850+0.00000000j)  (0.00000233+0.00101362j)
 (-2.99399700+0.00000000j)  (0.00000232+0.00101286j)
 (-2.99099550+0.00000000j)  (0.00000232+0.00101209j)
 (-2.98799400+0.00000000j)  (0.00000231+0.00101132j)
 (-2.98499250+0.00000000j)  (0.00000231+0.00101056j)
 (-2.98199100+0.00000000j)  (0.00000231+0.00100979j)
 (-2.97898949+0.00000000j)  (0.00000230+0.00100902j)
 (-2.97598799+0.00000000j)  (0.00000230+0.00100825j)
 (-2.97298649+0.00000000j)  (0.00000230+0.00100749j)
 (-2.96998499+0.00000000j)  (0.00000229+0.00100672j)
 (-2.96698349+0.00000000j)  (0.00000229+0.00100595j)
 (-2.96398199+0.00000000j)  (0.00000229+0.00100519j)
 (-2.96098049+0.00000000j)  (0.00000228+0.00100442j)
 (-2.95797899+0.00000000j)  (0.00000228+0.00100365j)
 (-2.95497749+0.00000000j)  (0.00000228+0.00100289j)
 (-2.95197599+0.00000000j)  (0.00000227+0.00100212j)
 (-2.94897449+0.00000000j)  (0.00000227+0.00100135j)
 (-2.94597299+0.00000000j)  (0.00000227+0.00100059j)
 (-2.94297149+0.00000000j)  (0.00000226+0.00099982j)
 (-2.93996998+0.00000000j)  (0.00000226+0.00099905j)
 (-2.93696848+0.00000000j)  (0.00000226+0.00099828j)
 (-2.93396698+0.00000000j)  (0.00000225+0.00099751j)
 (-2.93096548+0.00000000j)  (0.00000225+0.00099675j)
 (-2.92796398+0.00000000j)  (0.00000225+0.00099598j)
 (-2.92496248+0.00000000j)  (0.00000224+0.00099521j)
 (-2.92196098+0.00000000j)  (0.00000224+0.00099444j)
 (-2.91895948+0.00000000j)  (0.00000224+0.00099367j)
 (-2.91595798+0.00000000j)  (0.00000224+0.00099291j)
 (-2.91295648+0.00000000j)  (0.00000224+0.00099214j)
 (-2.90995498+0.00000000j)  (0.00000223+0.00099137j)
 (-2.90695348+0.00000000j)  (0.00000223+0.00099061j)
 (-2.90395198+0.00000000j)  (0.00000223+0.00098984j)
 (-2.90095048+0.00000000j)  (0.00000222+0.00098907j)
 (-2.89794897+0.00000000j)  (0.00000222+0.00098831j)
 (-2.89494747+0.00000000j)  (0.00000221+0.00098754j)
 (-2.89194597+0.00000000j)  (0.00000220+0.00098677j)
 (-2.88894447+0.00000000j)  (0.00000220+0.00098600j)
 (-2.88594297+0.00000000j)  (0.00000220+0.00098523j)
 (-2.88294147+0.00000000j)  (0.00000219+0.00098446j)
 (-2.87993997+0.00000000j)  (0.00000219+0.00098369j)
 (-2.87693847+0.00000000j)  (0.00000218+0.00098292j)
 (-2.87393697+0.00000000j)  (0.00000218+0.00098215j)
 (-2.87093547+0.00000000j)  (0.00000218+0.00098138j)
 (-2.86793397+0.00000000j)  (0.00000217+0.00098061j)
 (-2.86493247+0.00000000j)  (0.00000217+0.00097984j)
 (-2.86193097+0.00000000j)  (0.00000217+0.00097906j)
 (-2.85892946+0.00000000j)  (0.00000216+0.00097829j)
 (-2.85592796+0.00000000j)  (0.00000216+0.00097752j)
 (-2.85292646+0.00000000j)  (0.00000216+0.00097675j)
 (-2.84992496+0.00000000j)  (0.00000215+0.00097598j)
 (-2.84692346+0.00000000j)  (0.00000215+0.00097521j)
 (-2.84392196+0.00000000j)  (0.00000215+0.00097444j)
 (-2.84092046+0.00000000j)  (0.00000214+0.00097367j)
 (-2.83791896+0.00000000j)  (0.00000214+0.00097290j)
 (-2.83491746+0.00000000j)  (0.00000214+0.00097212j)
 (-2.83191596+0.00000000j)  (0.00000213+0.00097135j)
 (-2.82891446+0.00000000j)  (0.00000213+0.00097058j)
 (-2.82591296+0.00000000j)  (0.00000213+0.00096981j)
 (-2.82291146+0.00000000j)  (0.00000212+0.00096904j)
 (-2.81990995+0.00000000j)  (0.00000212+0.00096826j)
 (-2.81690845+0.00000000j)  (0.00000212+0.00096749j)
