 (-2.70285143+0.00000000j)  (0.00000130-0.00000000j)
 (-2.69984992+0.00000000j)  (0.00000154-0.00000000j)
 (-2.69684842+0.00000000j)  (0.00000174-0.00000000j)
 (-2.69384692+0.00000000j)  (0.00000192-0.00000000j)
 (-2.69084542+0.00000000j)  (0.00000207+0.00000000j)
 (-2.68784392+0.00000000j)  (0.00000221+0.00000000j)
 (-2.68484242+0.00000000j)  (0.00000233+0.00000000j)
 (-2.68184092+0.00000000j)  (0.00000243-0.00000000j)
 (-2.67883942+0.00000000j)  (0.00000252-0.00000000j)
 (-2.67583792+0.00000000j)  (0.00000260+0.00000000j)
 (-2.67283642+0.00000000j)  (0.00000267-0.00000000j)
 (-2.66983492+0.00000000j)  (0.00000273+0.00000000j)
 (-2.66683342+0.00000000j)  (0.00000279+0.00000000j)
 (-2.66383192+0.00000000j)  (0.00000284+0.00000000j)
 (-2.66083042+0.00000000j)  (0.00000288-0.00000000j)
 (-2.65782891+0.00000000j)  (0.00000292-0.00000000j)
 (-2.65482741+0.00000000j)  (0.00000295+0.00000000j)
 (-2.65182591+0.00000000j)  (0.00000298+0.00000000j)
 (-2.64882441+0.00000000j)  (0.00000301-0.00000000j)
 (-2.64582291+0.00000000j)  (0.00000303-0.00000000j)
 (-2.64282141+0.00000000j)  (0.00000305-0.00000000j)
 (-2.63981991+0.00000000j)  (0.00000307-0.00000000j)
 (-2.63681841+0.00000000j)  (0.00000310+0.00000000j)
 (-2.63381691+0.00000000j)  (0.00000317-0.00000000j)
 (-2.63081541+0.00000000j)  (0.00000313+0.00000000j)
 (-2.62781391+0.00000000j)  (0.00000311-0.00000000j)
 (-2.62481241+0.00000000j)  (0.00000310-0.00000000j)
 (-2.62181091+0.00000000j)  (0.00000310-0.00000000j)
 (-2.61880940+0.00000000j)  (0.00000310-0.00000000j)
 (-2.61580790+0.00000000j)  (0.00000309+0.00000000j)
 (-2.61280640+0.00000000j)  (0.00000308+0.00000000j)
 (-2.60980490+0.00000000j)  (0.00000307-0.00000000j)
 (-2.60680340+0.00000000j)  (0.00000305-0.00000000j)
 (-2.60380190+0.00000000j)  (0.00000303-0.00000000j)
 (-2.60080040+0.00000000j)  (0.00000301-0.00000000j)
 (-2.59779890+0.00000000j)  (0.00000298+0.00000000j)
 (-2.59479740+0.00000000j)  (0.00000294+0.00000000j)
 (-2.59179590+0.00000000j)  (0.00000290+0.00000000j)
 (-2.58879440+0.00000000j)  (0.00000284+0.00000000j)
 (-2.58579290+0.00000000j)  (0.00000278-0.00000000j)
 (-2.58279140+0.00000000j)  (0.00000270+0.00000000j)
 (-2.57978989+0.00000000j)  (0.00000263+0.00000000j)
 (-2.57678839+0.00000000j)  (0.00000256-0.00000000j)
 (-2.57378689+0.00000000j)  (0.00000252+0.00000000j)
 (-2.57078539+0.00000000j)  (0.00000249+0.00000000j)
 (-2.56778389+0.00000000j)  (0.00000247-0.00000000j)
 (-2.56478239+0.00000000j)  (0.00000243-0.00000000j)
 (-2.56178089+0.00000000j)  (0.00000237+0.00000000j)
 (-2.55877939+0.00000000j)  (0.00000229+0.00000000j)
 (-2.55577789+0.00000000j)  (0.00000219-0.00000000j)
 (-2.55277639+0.00000000j)  (0.00000207-0.00000000j)
 (-2.54977489+0.00000000j)  (0.00000192-0.00000000j)
 (-2.54677339+0.00000000j)  (0.00000175-0.00000000j)
 (-2.54377189+0.00000000j)  (0.00000154+0.00000000j)
 (-2.54077039+0.00000000j)  (0.00000131+0.00000000j)
 (-2.53776888+0.00000000j)  (0.00000105-0.00000000j)
 (-2.53476738+0.00000000j)  (0.00000077+0.00000000j)
 (-2.53176588+0.00000000j)  (0.00000049-0.00000000j)
 (-2.52876438+0.00000000j)  (0.00000024+0.00000000j)
 (-2.52576288+0.00000000j)  (0.00000006+0.00000000j)
 (-2.52276138+0.00000000j)  (-0.00000002+0.00000000j)
 (-2.51975988+0.00000000j)  (0.00000002+0.00000000j)
 (-2.51675838+0.00000000j)  (0.00000012+0.00000000j)
 (-2.51375688+0.00000000j)  (0.00000024+0.00000000j)
 (-2.51075538+0.00000000j)  (0.00000039+0.00000000j)
 (-2.50775388+0.00000000j)  (0.00000053+0.00000000j)
 (-2.50475238+0.00000000j)  (0.00000066+0.00000000j)
 (-2.50175088+0.00000000j)  (0.00000076-0.00000000j)
 (-2.49874937+0.00000000j)  (0.00000085+0.00000000j)
 (-2.49574787+0.00000000j)  (0.00000094+0.00000000j)
 (-2.49274637+0.00000000j)  (0.00000103-0.00000000j)
 (-2.48974487+0.00000000j)  (0.00000111-0.00000000j)
 (-2.48674337+0.00000000j)  (0.00000117-0.00000000j)
 (-2.48374187+0.00000000j)  (0.00000120+0.00000000j)
 (-2.48074037+0.00000000j)  (0.00000119+0.00000000j)
 (-2.47773887+0.00000000j)  (0.00000114-0.00000000j)
 (-2.47473737+0.00000000j)  (0.00000107-0.00000000j)
 (-2.47173587+0.00000000j)  (0.00000100-0.00000000j)
 (-2.46873437+0.00000000j)  (0.00000094+0.00000000j)
 (-2.46573287+0.00000000j)  (0.00000091+0.00000000j)
 (-2.46273137+0.00000000j)  (0.00000088-0.00000000j)
 (-2.45972986+0.00000000j)  (0.00000084+0.00000000j)
 (-2.45672836+0.00000000j)  (0.00000077-0.00000000j)
 (-2.45372686+0.00000000j)  (0.00000066+0.00000000j)
 (-2.45072536+0.00000000j)  (0.00000052+0.00000000j)
 (-2.44772386+0.00000000j)  (0.00000035-0.00000000j)
 (-2.44472236+0.00000000j)  (0.00000013+0.00000000j)
 (-2.44172086+0.00000000j)  (-0.00000011-0.00000000j)
 (-2.43871936+0.00000000j)  (-0.00000037-0.00000000j)
 (-2.43571786+0.00000000j)  (-0.00000065+0.00000000j)
 (-2.43271636+0.00000000j)  (-0.00000091-0.00000000j)
 (-2.42971486+0.00000000j)  (-0.00000114+0.00000000j)
 (-2.42671336+0.00000000j)  (-0.00000131-0.00000000j)
 (-2.42371186+0.00000000j)  (-0.00000139-0.00000000j)
 (-2.42071036+0.00000000j)  (-0.00000139-0.00000000j)
 (-2.41770885+0.00000000j)  (-0.00000132+0.00000000j)
 (-2.41470735+0.00000000j)  (-0.00000120-0.00000000j)
 (-2.41170585+0.00000000j)  (-0.00000106-0.00000000j)
 (-2.40870435+0.00000000j)  (-0.00000092-0.00000000j)
 (-2.40570285+0.00000000j)  (-0.00000080+0.00000000j)
 (-2.40270135+0.00000000j)  (-0.00000070+0.00000000j)
 (-2.39969985+0.00000000j)  (-0.00000063-0.00000000j)
 (-2.39669835+0.00000000j)  (-0.00000059-0.00000000j)
 (-2.39369685+0.00000000j)  (-0.00000059+0.00000000j)
 (-2.39069535+0.00000000j)  (-0.00000061+0.00000000j)
 (-2.38769385+0.00000000j)  (-0.00000066-0.00000000j)
 (-2.38469235+0.00000000j)  (-0.00000072-0.00000000j)
 (-2.38169085+0.00000000j)  (-0.00000081+0.00000000j)
 (-2.37868934+0.00000000j)  (-0.00000093+0.00000000j)
 (-2.37568784+0.00000000j)  (-0.00000106-0.00000000j)
 (-2.37268634+0.00000000j)  (-0.00000121+0.00000000j)
 (-2.36968484+0.00000000j)  (-0.00000137+0.00000000j)
 (-2.36668334+0.00000000j)  (-0.00000153-0.00000000j)
 (-2.36368184+0.00000000j)  (-0.00000166-0.00000000j)
 (-2.36068034+0.00000000j)  (-0.00000175-0.00000000j)
 (-2.35767884+0.00000000j)  (-0.00000182+0.00000000j)
 (-2.35467734+0.00000000j)  (-0.00000187+0.00000000j)
 (-2.35167584+0.00000000j)  (-0.00000193+0.00000000j)
 (-2.34867434+0.00000000j)  (-0.00000201+0.00000000j)
 (-2.34567284+0.00000000j)  (-0.00000212+0.00000000j)
 (-2.34267134+0.00000000j)  (-0.00000225+0.00000000j)
 (-2.33966983+0.00000000j)  (-0.00000239-0.00000000j)
 (-2.33666833+0.00000000j)  (-0.00000246-0.00000000j)
 (-2.33366683+0.00000000j)  (-0.00000261-0.00000000j)
 (-2.33066533+0.00000000j)  (-0.00000280+0.00000000j)
 (-2.32766383+0.00000000j)  (-0.00000284+0.00000000j)
 (-2.32466233+0.00000000j)  (-0.00000276+0.00000000j)
 (-2.32166083+0.00000000j)  (-0.00000256+0.00000000j)
 (-2.31865933+0.00000000j)  (-0.00000228+0.00000000j)
 (-2.31565783+0.00000000j)  (-0.00000194+0.00000000j)
