 (-3.00000000+0.00000000j)  (0.00000531+0.00000000j)
 (-2.99699850+0.00000000j)  (0.00000533-0.00000000j)
 (-2.99399700+0.00000000j)  (0.00000535-0.00000000j)
 (-2.99099550+0.00000000j)  (0.00000537+0.00000000j)
 (-2.98799400+0.00000000j)  (0.00000540-0.00000000j)
 (-2.98499250+0.00000000j)  (0.00000542-0.00000000j)
 (-2.98199100+0.00000000j)  (0.00000543+0.00000000j)
 (-2.97898949+0.00000000j)  (0.00000544+0.00000000j)
 (-2.97598799+0.00000000j)  (0.00000545-0.00000000j)
 (-2.97298649+0.00000000j)  (0.00000545-0.00000000j)
 (-2.96998499+0.00000000j)  (0.00000545+0.00000000j)
 (-2.96698349+0.00000000j)  (0.00000544+0.00000000j)
 (-2.96398199+0.00000000j)  (0.00000543+0.00000000j)
 (-2.96098049+0.00000000j)  (0.00000542-0.00000000j)
 (-2.95797899+0.00000000j)  (0.00000540-0.00000000j)
 (-2.95497749+0.00000000j)  (0.00000537-0.00000000j)
 (-2.95197599+0.00000000j)  (0.00000533-0.00000000j)
 (-2.94897449+0.00000000j)  (0.00000528-0.00000000j)
 (-2.94597299+0.00000000j)  (0.00000522-0.00000000j)
 (-2.94297149+0.00000000j)  (0.00000511+0.00000000j)
 (-2.93996998+0.00000000j)  (0.00000495-0.00000000j)
 (-2.93696848+0.00000000j)  (0.00000475-0.00000000j)
 (-2.93396698+0.00000000j)  (0.00000444-0.00000000j)
 (-2.93096548+0.00000000j)  (0.00000410-0.00000000j)
 (-2.92796398+0.00000000j)  (0.00000378+0.00000000j)
 (-2.92496248+0.00000000j)  (0.00000356+0.00000000j)
 (-2.92196098+0.00000000j)  (0.00000351+0.00000000j)
 (-2.91895948+0.00000000j)  (0.00000370-0.00000000j)
 (-2.91595798+0.00000000j)  (0.00000406-0.00000000j)
 (-2.91295648+0.00000000j)  (0.00000442+0.00000000j)
 (-2.90995498+0.00000000j)  (0.00000471+0.00000000j)
 (-2.90695348+0.00000000j)  (0.00000491+0.00000000j)
 (-2.90395198+0.00000000j)  (0.00000504-0.00000000j)
 (-2.90095048+0.00000000j)  (0.00000512+0.00000000j)
 (-2.89794897+0.00000000j)  (0.00000517-0.00000000j)
 (-2.89494747+0.00000000j)  (0.00000520+0.00000000j)
 (-2.89194597+0.00000000j)  (0.00000520-0.00000000j)
 (-2.88894447+0.00000000j)  (0.00000519-0.00000000j)
 (-2.88594297+0.00000000j)  (0.00000515+0.00000000j)
 (-2.88294147+0.00000000j)  (0.00000509-0.00000000j)
