 (-2.69984992+0.00000000j)  (0.00000184+0.00090161j)
 (-2.69684842+0.00000000j)  (0.00000184+0.00090083j)
 (-2.69384692+0.00000000j)  (0.00000184+0.00090006j)
 (-2.69084542+0.00000000j)  (0.00000183+0.00089928j)
 (-2.68784392+0.00000000j)  (0.00000183+0.00089851j)
 (-2.68484242+0.00000000j)  (0.00000183+0.00089773j)
 (-2.68184092+0.00000000j)  (0.00000183+0.00089696j)
 (-2.67883942+0.00000000j)  (0.00000182+0.00089618j)
 (-2.67583792+0.00000000j)  (0.00000182+0.00089541j)
 (-2.67283642+0.00000000j)  (0.00000182+0.00089463j)
 (-2.66983492+0.00000000j)  (0.00000182+0.00089386j)
 (-2.66683342+0.00000000j)  (0.00000182+0.00089308j)
 (-2.66383192+0.00000000j)  (0.00000181+0.00089231j)
 (-2.66083042+0.00000000j)  (0.00000181+0.00089153j)
 (-2.65782891+0.00000000j)  (0.00000181+0.00089075j)
 (-2.65482741+0.00000000j)  (0.00000180+0.00088998j)
 (-2.65182591+0.00000000j)  (0.00000180+0.00088920j)
 (-2.64882441+0.00000000j)  (0.00000180+0.00088842j)
 (-2.64582291+0.00000000j)  (0.00000179+0.00088765j)
 (-2.64282141+0.00000000j)  (0.00000179+0.00088687j)
 (-2.63981991+0.00000000j)  (0.00000179+0.00088609j)
 (-2.63681841+0.00000000j)  (0.00000179+0.00088531j)
 (-2.63381691+0.00000000j)  (0.00000179+0.00088453j)
 (-2.63081541+0.00000000j)  (0.00000179+0.00088375j)
 (-2.62781391+0.00000000j)  (0.00000179+0.00088298j)
 (-2.62481241+0.00000000j)  (0.00000179+0.00088220j)
 (-2.62181091+0.00000000j)  (0.00000179+0.00088143j)
 (-2.61880940+0.00000000j)  (0.00000179+0.00088066j)
 (-2.61580790+0.00000000j)  (0.00000179+0.00087989j)
 (-2.61280640+0.00000000j)  (0.00000179+0.00087912j)
 (-2.60980490+0.00000000j)  (0.00000178+0.00087834j)
 (-2.60680340+0.00000000j)  (0.00000177+0.00087756j)
 (-2.60380190+0.00000000j)  (0.00000176+0.00087679j)
 (-2.60080040+0.00000000j)  (0.00000175+0.00087601j)
 (-2.59779890+0.00000000j)  (0.00000175+0.00087522j)
 (-2.59479740+0.00000000j)  (0.00000174+0.00087444j)
 (-2.59179590+0.00000000j)  (0.00000174+0.00087366j)
 (-2.58879440+0.00000000j)  (0.00000173+0.00087288j)
 (-2.58579290+0.00000000j)  (0.00000173+0.00087210j)
 (-2.58279140+0.00000000j)  (0.00000172+0.00087132j)
 (-2.57978989+0.00000000j)  (0.00000172+0.00087054j)
 (-2.57678839+0.00000000j)  (0.00000172+0.00086976j)
 (-2.57378689+0.00000000j)  (0.00000171+0.00086897j)
