 (-3.00000000+0.00000000j)  (0.00000303+0.00121610j)
 (-2.99699850+0.00000000j)  (0.00000303+0.00121526j)
 (-2.99399700+0.00000000j)  (0.00000302+0.00121442j)
 (-2.99099550+0.00000000j)  (0.00000302+0.00121358j)
 (-2.98799400+0.00000000j)  (0.00000301+0.00121273j)
 (-2.98499250+0.00000000j)  (0.00000301+0.00121189j)
 (-2.98199100+0.00000000j)  (0.00000301+0.00121105j)
 (-2.97898949+0.00000000j)  (0.00000300+0.00121021j)
 (-2.97598799+0.00000000j)  (0.00000300+0.00120937j)
 (-2.97298649+0.00000000j)  (0.00000299+0.00120852j)
 (-2.96998499+0.00000000j)  (0.00000299+0.00120768j)
 (-2.96698349+0.00000000j)  (0.00000299+0.00120684j)
 (-2.96398199+0.00000000j)  (0.00000298+0.00120600j)
 (-2.96098049+0.00000000j)  (0.00000298+0.00120515j)
 (-2.95797899+0.00000000j)  (0.00000297+0.00120431j)
 (-2.95497749+0.00000000j)  (0.00000297+0.00120347j)
 (-2.95197599+0.00000000j)  (0.00000296+0.00120262j)
 (-2.94897449+0.00000000j)  (0.00000296+0.00120178j)
 (-2.94597299+0.00000000j)  (0.00000296+0.00120094j)
 (-2.94297149+0.00000000j)  (0.00000295+0.00120009j)
 (-2.93996998+0.00000000j)  (0.00000295+0.00119925j)
 (-2.93696848+0.00000000j)  (0.00000295+0.00119840j)
 (-2.93396698+0.00000000j)  (0.00000294+0.00119756j)
 (-2.93096548+0.00000000j)  (0.00000294+0.00119671j)
 (-2.92796398+0.00000000j)  (0.00000294+0.00119587j)
 (-2.92496248+0.00000000j)  (0.00000294+0.00119502j)
 (-2.92196098+0.00000000j)  (0.00000294+0.00119418j)
 (-2.91895948+0.00000000j)  (0.00000294+0.00119334j)
 (-2.91595798+0.00000000j)  (0.00000293+0.00119250j)
 (-2.91295648+0.00000000j)  (0.00000292+0.00119166j)
 (-2.90995498+0.00000000j)  (0.00000292+0.00119081j)
 (-2.90695348+0.00000000j)  (0.00000291+0.00118996j)
 (-2.90395198+0.00000000j)  (0.00000290+0.00118912j)
 (-2.90095048+0.00000000j)  (0.00000290+0.00118827j)
 (-2.89794897+0.00000000j)  (0.00000290+0.00118742j)
 (-2.89494747+0.00000000j)  (0.00000289+0.00118657j)
 (-2.89194597+0.00000000j)  (0.00000289+0.00118572j)
